year,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains,total hindus,total sikhs,total shinto,total bahai,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1945.00,160887585.00,391332035.00,98501171.00,36955033.00,13674466.00,701350290.00,856827.00,1426350.00,1929388.00,7796835.00,12009400.00,49050320.00,19436742.00,0.00,0.00,0.00,0.00,62273219.00,130760281.00,0.00,0.00,116237936.00,116237936.00,12710.00,5389197.00,20809.00,55228775.00,15495.00,120950.00,181.00,0.00,428660117.00,33210080.00,153486530.00,9856926.00,1636502751.00,1617000000.00,2250000000.00,1.1
1950.00,133301043.00,401935856.00,106610911.00,38307544.00,16324768.00,696480122.00,2204231.00,1860297.00,2528641.00,7105125.00,13698294.00,56921304.00,20944082.00,0.00,0.00,387994.00,0.00,215867687.00,294121067.00,0.00,14031137.00,144980765.00,159011902.00,119462.00,301349500.00,5932557.00,65452839.00,638739.00,921828.00,1817254.00,2646410.00,431942094.00,88853880.00,192925316.00,12145951.00,2255911264.00,2231000000.00,2780296616.00,1.1
1955.00,189347338.00,474378130.00,111661338.00,38177572.00,22437724.00,836002102.00,2496432.00,1653007.00,2225241.00,6611524.00,12986204.00,78882540.00,24256503.00,0.00,0.00,445582.00,0.00,240487382.00,344072007.00,0.00,33522360.00,145861839.00,179384199.00,140762.00,328704605.00,6407617.00,68145114.00,761302.00,1182738.00,1620662.00,2956319.00,385702150.00,93710944.00,304128449.00,21379050.00,2565905174.00,2536000000.00,3039433944.00,1.1
1960.00,220293770.00,541957872.00,118268109.00,41846700.00,44601144.00,966967595.00,2818847.00,1716903.00,2300405.00,6892701.00,13728856.00,104325384.00,27174803.00,0.00,0.00,521848.00,0.00,303101053.00,435123088.00,0.00,16766250.00,183672909.00,200439159.00,170443.00,361169167.00,8088138.00,71357167.00,1278349.00,1357348.00,2031760.00,3593958.00,325016083.00,135768801.00,434629671.00,18904435.00,2960719583.00,2921000000.00,3345409879.00,1.1
1965.00,234437703.00,614115021.00,125954494.00,45086639.00,55119929.00,1074713786.00,3295632.00,1760345.00,2348076.00,6849626.00,14253679.00,129192812.00,17097714.00,40000.00,0.00,598115.00,0.00,367705416.00,514634057.00,0.00,18305680.00,194287704.00,212593384.00,148944.00,397863182.00,8895685.00,74982591.00,1658891.00,1704647.00,2341748.00,4441376.00,358844822.00,160893706.00,474097850.00,41159669.00,3302068346.00,3280000000.00,3706601448.00,1.1
1970.00,247932230.00,671006540.00,134595635.00,46079842.00,76991429.00,1176605676.00,3663721.00,1923986.00,2574798.00,6670904.00,14833409.00,151264004.00,36572141.00,374000.00,0.00,700450.00,0.00,403431693.00,592342288.00,0.00,20862636.00,207939998.00,228802634.00,107671.00,449824489.00,10686632.00,79156350.00,2294978.00,1981266.00,2628762.00,5286931.00,379156729.00,167009224.00,588838181.00,26258961.00,3699555220.00,3655000000.00,4086387665.00,1.1
1975.00,264857729.00,748325898.00,137192284.00,48153338.00,101587361.00,1300116609.00,3910099.00,2253657.00,2910930.00,6839862.00,15914548.00,238953304.00,44373213.00,420500.00,0.00,924465.00,2700.00,379000166.00,663674348.00,0.00,22929200.00,237395084.00,260324284.00,179084.00,488621807.00,12477870.00,85416548.00,2607053.00,2895296.00,2942380.00,5174923.00,372344153.00,168615279.00,690431832.00,26800685.00,4071736010.00,4023000000.00,4453863820.00,1.1
1980.00,278962191.00,798834729.00,137902427.00,51093360.00,125285902.00,1392078609.00,4300992.00,2439116.00,3153787.00,6713100.00,16606995.00,277804364.00,50827912.00,668250.00,0.00,1148480.00,1584485.00,315105986.00,647139477.00,0.00,30400850.00,268001266.00,298402116.00,192461.00,537594394.00,14276856.00,89429228.00,3205049.00,3875752.00,3258083.00,5470087.00,398417206.00,165629178.00,737801266.00,35031049.00,4313376757.00,4413000000.00,4850224998.00,1.1
1985.00,305061321.00,865316946.00,141435053.00,56651880.00,138453851.00,1506919051.00,4580474.00,2466942.00,3320124.00,6415455.00,16782995.00,317788564.00,62653376.00,899500.00,0.00,1202490.00,0.00,364584661.00,747128591.00,0.00,36232325.00,301438364.00,337670689.00,263891.00,601622535.00,14921905.00,92520741.00,3180424.00,4627936.00,3567900.00,1169027.00,435629032.00,166066939.00,788196309.00,36373149.00,4720267965.00,4834000000.00,5277725410.00,1.1
1990.00,391772588.00,928527756.00,147970918.00,63954053.00,162855904.00,1695081219.00,4395315.00,1926083.00,2458253.00,6089896.00,14869547.00,516397560.00,78407673.00,1095087.00,0.00,9123315.00,0.00,394656683.00,999680318.00,0.00,39303150.00,335944605.00,375247755.00,878401.00,659849828.00,19201480.00,94607820.00,5064983.00,5884833.00,3884764.00,1300279.00,469199898.00,182182331.00,838271280.00,36282109.00,5365204736.00,5313000000.00,5687011326.00,1.1
