year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1945.00,Africa,2074180.00,672337.00,7251492.00,419457.00,4170594.00,14588060.00,0.00,0.00,0.00,80487.00,80487.00,0.00,0.00,0.00,0.00,0.00,0.00,5051475.00,5051475.00,0.00,0.00,53.00,53.00,0.00,137290.00,1536.00,0.00,2021.00,0.00,0.00,0.00,831.00,9162018.00,7396.00,41833.00,29065604.00,29073000.00,1617000000.00,1.10
1945.00,Asia,2407144.00,2222908.00,181928.00,3142204.00,1964907.00,9919091.00,0.00,0.00,0.00,30369.00,30369.00,7451998.00,940000.00,0.00,0.00,0.00,0.00,27868347.00,36260345.00,0.00,0.00,113681431.00,113681431.00,2710.00,5230216.00,12525.00,55228775.00,7243.00,120950.00,0.00,0.00,423153390.00,22525760.00,30637661.00,152491.00,666325296.00,663450000.00,1617000000.00,1.10
1945.00,Europe,83145512.00,216041422.00,86503645.00,29855595.00,5361826.00,420908000.00,0.00,0.00,0.00,6068020.00,6068020.00,0.00,0.00,0.00,0.00,0.00,0.00,29353397.00,29353397.00,0.00,0.00,725632.00,725632.00,0.00,21691.00,1748.00,0.00,6231.00,0.00,181.00,0.00,5896.00,1294177.00,99829250.00,2535777.00,460920750.00,560750000.00,1617000000.00,1.10
1945.00,Mideast,87174.00,635929.00,3180260.00,0.00,108332.00,4011695.00,0.00,0.00,0.00,623240.00,623240.00,41598322.00,18496742.00,0.00,0.00,0.00,0.00,0.00,60095064.00,0.00,0.00,0.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,561.00,478440.00,65218439.00,65219000.00,1617000000.00,1.10
1945.00,West. Hem,73173575.00,171759439.00,1383846.00,3537777.00,2068807.00,251923444.00,856827.00,1426350.00,1929388.00,994719.00,5207284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1830820.00,1830820.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,5500000.00,228125.00,23011662.00,6648385.00,271343058.00,289375655.00,1617000000.00,1.10
1950.00,Africa,3302860.00,736193.00,7260770.00,609769.00,4884121.00,16793713.00,0.00,0.00,0.00,97006.00,97006.00,0.00,0.00,0.00,0.00,0.00,0.00,5508523.00,5508523.00,0.00,0.00,194.00,194.00,0.00,195524.00,1943.00,0.00,3004.00,0.00,0.00,0.00,973.00,11084152.00,19918.00,2050.00,33687082.00,33707000.00,2231000000.00,1.10
1950.00,Asia,9360004.00,25948053.00,1051829.00,3612715.00,5190796.00,45163397.00,0.00,0.00,0.00,54754.00,54754.00,7987175.00,923000.00,0.00,0.00,0.00,0.00,180211586.00,189121761.00,0.00,14031137.00,144032385.00,158063522.00,114462.00,301106975.00,5910591.00,65452839.00,453734.00,921828.00,1816754.00,2646410.00,425681485.00,76081638.00,69193934.00,499371.00,1273089521.00,1300208016.00,2231000000.00,1.10
1950.00,Europe,40293475.00,182146023.00,91004796.00,29739026.00,4534844.00,347718164.00,0.00,0.00,0.00,5336066.00,5336066.00,0.00,0.00,0.00,0.00,0.00,0.00,30109208.00,30109208.00,0.00,0.00,759624.00,759624.00,0.00,44995.00,10022.00,0.00,8041.00,0.00,500.00,0.00,9763.00,1238087.00,100773236.00,512294.00,385746764.00,486520000.00,2231000000.00,1.10
1950.00,Mideast,27091.00,946089.00,4047536.00,0.00,93138.00,5113854.00,1090162.00,6607.00,4404.00,529038.00,1630211.00,48934129.00,20021082.00,0.00,0.00,387994.00,0.00,17600.00,69360805.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,172960.00,0.00,0.00,0.00,0.00,0.00,0.00,1400170.00,77683000.00,77683000.00,2231000000.00,1.10
1950.00,West. Hem,80317613.00,192159498.00,3245980.00,4346034.00,1621869.00,281690994.00,1114069.00,1853690.00,2524237.00,1088261.00,6580257.00,0.00,0.00,0.00,0.00,0.00,0.00,20770.00,20770.00,0.00,0.00,188562.00,188562.00,0.00,2006.00,10001.00,0.00,1000.00,0.00,0.00,0.00,6249873.00,450003.00,22938228.00,9732066.00,304925532.00,322455008.00,2231000000.00,1.10
1955.00,Africa,4014921.00,802667.00,7272036.00,753661.00,6094033.00,18937318.00,0.00,0.00,0.00,117741.00,117741.00,0.00,0.00,0.00,0.00,0.00,0.00,6002686.00,6002686.00,0.00,0.00,707.00,707.00,0.00,278538.00,2457.00,0.00,7593.00,0.00,0.00,0.00,1139.00,9419390.00,53634.00,103797.00,34871366.00,34925000.00,2536000000.00,1.10
1955.00,Asia,12638476.00,34806115.00,1254956.00,3824355.00,6443511.00,58967413.00,0.00,0.00,0.00,81070.00,81070.00,8658503.00,1000000.00,0.00,0.00,0.00,0.00,201064244.00,210722747.00,0.00,33522360.00,144441261.00,177963621.00,126582.00,328331380.00,6342714.00,68145114.00,738141.00,1182738.00,1619287.00,2785120.00,378770746.00,82851650.00,161895190.00,1402045.00,1320030368.00,1436233000.00,2536000000.00,1.10
1955.00,Europe,85570895.00,223576835.00,96120344.00,29306649.00,6597713.00,441172436.00,0.00,0.00,0.00,5178671.00,5178671.00,0.00,0.00,0.00,0.00,0.00,0.00,33390170.00,33390170.00,0.00,0.00,806776.00,806776.00,0.00,93684.00,57446.00,0.00,15068.00,0.00,1375.00,0.00,26391.00,1189903.00,118537427.00,3246653.00,485178573.00,603716000.00,2536000000.00,1.10
1955.00,Mideast,32782.00,1740329.00,3202941.00,0.00,678049.00,5654101.00,1509000.00,9001.00,6001.00,442397.00,1966399.00,70224037.00,23256503.00,0.00,0.00,445582.00,0.00,27552.00,93953674.00,0.00,0.00,0.00,0.00,14180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5588.00,0.00,270.00,1135788.00,102729730.00,102730000.00,2536000000.00,1.10
1955.00,West. Hem,87090264.00,213452184.00,3811061.00,4292907.00,2624418.00,311270834.00,987432.00,1644006.00,2219240.00,791645.00,5642323.00,0.00,0.00,0.00,0.00,0.00,0.00,2730.00,2730.00,0.00,0.00,613095.00,613095.00,0.00,1003.00,5000.00,0.00,500.00,0.00,0.00,171199.00,6898286.00,250001.00,23641928.00,15490767.00,340345738.00,358220000.00,2536000000.00,1.10
1960.00,Africa,13038381.00,14074508.00,8239314.00,3033366.00,23172234.00,61557803.00,0.00,0.00,0.00,138994.00,138994.00,4990792.00,0.00,0.00,0.00,0.00,0.00,37917444.00,42908236.00,0.00,0.00,3416.00,3416.00,0.00,363925.00,2971.00,0.00,157462.00,0.00,0.00,0.00,4646.00,42355767.00,265053.00,1047727.00,148540947.00,148806000.00,2921000000.00,1.10
1960.00,Asia,17884779.00,41601765.00,1518027.00,4071747.00,9108298.00,74184616.00,0.00,0.00,0.00,80005.00,80005.00,9537389.00,1000000.00,0.00,0.00,0.00,0.00,229633620.00,240171009.00,0.00,16766250.00,179897730.00,196663980.00,170443.00,360471285.00,7980296.00,71357167.00,899468.00,1357348.00,2029510.00,3251560.00,317448262.00,89171314.00,278617080.00,2879327.00,1368115590.00,1594029976.00,2921000000.00,1.10
1960.00,Europe,86615387.00,232373678.00,102354051.00,29372814.00,7610228.00,458326158.00,0.00,0.00,0.00,5068023.00,5068023.00,0.00,0.00,0.00,0.00,0.00,0.00,35477503.00,35477503.00,0.00,0.00,853421.00,853421.00,0.00,142373.00,104871.00,0.00,21419.00,0.00,2250.00,0.00,37975.00,1141720.00,133709658.00,4580629.00,505756342.00,639466000.00,2921000000.00,1.10
